Num Fea HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM
356 jaw 1 2 2 3 4 2 2 5 2 6 7 8 9 10 2 11 12 13 14 17 2 2 15 16 
357 join 1 2 3 4 5 6 6 7 6 8 9 6 10 11 5 12 13 14 15 16 8 17 18 19 
358 king 1 2 3 4 5 6 7 8 9 10 6 6 11 11 5 7 12 13 14 10 10 15 16 17 
359 knot 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 18 10 10 19 20 21 
362.1 leave1 1 2 2 3 4 2 2 5 2 3 6 2 7 8 4 9 10 11 3 3 3 12 13 14 
362.2 leave2 1 2 2 15 4 2 2 5 2 3 6 2 7 8 4 9 10 11 3 3 3 12 13 14 
363 lick 1 2 2 3 4 2 2 2 2 2 2 2 5 6 7 8 9 2 2 2 2 2 10 11 
365 light 1 1 2 3 1 1 1 4 4 1 1 1 5 6 1 7 8 9 1 1 1 1 10 11 
367 livestock 1 2 3 4 5 6 6 7 8 6 9 6 10 11 12 13 14 15 16 6 6 17 18 6  
369 middle 1 2 2 2 3 2 2 4 5 2 2 2 6 7 3 8 9 5 2 2 2 10 2 11 
370.1 milk1 1 2 3 4 5 6 6 7 15 5 5 16 8 9 5 10 11 15 5 5 5 12 13 14 
370.2 milk2 1 2 3 4 5 6 6 7 15 17 5 16 8 9 5 10 11 15 17 17 17 12 13 14 
371 mother_in_law 1 2 3 2 4 2 5 2 6 2 7 2 8 9 10 11 12 13 2 14 2 15 16 17 
372 mouse 1 2 2 2 3 2 4 2 5 2 6 2 7 8 9 10 11 5 12 2 2 6 13 14 
373 nail 1 2 3 4 12 3 5 13 14 15 16 3 6 7 12 8 13 14 9 15 15 16 10 11 
374 naked 1 1 1 2 3 1 1 12 12 13 14 1 4 5 6 7 8 9 13 13 13 14 10 11 
375 navel 1 2 3 4 5 3 3 6 7 16 3 3 8 9 10 11 3 3 12 16 16 13 14 15 
376 nine 1 2 2 2 2 2 2 5 5 2 2 2 3 2 2 2 2 5 2 2 2 2 4 2 
377.1 now1 1 2 1 1 1 12 12 1 3 1 4 1 1 5 6 12 7 8 1 1 1 9 10 11 
377.1 now2 1 2 1 1 1 13 12 1 3 1 4 1 1 5 6 12 7 8 1 1 1 9 10 11 
378 orphan 1 2 2 3 4 5 6 7 8 9 10 2 11 12 13 14 15 16 17 18 19 20 21 22 
381 plow 1 2 3 4 5 6 6 3 3 3 3 3 7 8 9 10 3 3 3 3 3 3 11 12  
382 pour 1 2 3 4 3 5 5 6 6 14 7 14 1 8 3 9 6 6 14 10 14 11 12 13 
384 remember 1 2 3 4 5 6 6 3 3 3 3 3 7 8 5 9 10 3 3 3 11 3 3 12 
385 roof 1 2 3 4 5 6 7 8 17 18 19 20 9 10 11 12 17 13 14 18 18 19 15 16 
386 row 1 2 3 4 5 6 7 8 9 20 20 21 10 11 12 13 14 9 15 20 16 17 18 19 
387 send 1 2 3 4 5 6 7 8 9 10 11 12 13 14 5 6 15 16 10 10 10 17 18 19 
388 seven 1 1 1 1 1 1 1 1 1 7 1 1 2 3 1 4 1 1 7 7 7 1 5 6 
393 silver 1 2 10 4 5 3 3 6 11 12 3 3 7 8 5 3 13 14 12 12 12 3 3 9 
394 sister 1 2 3 4 2 2 2 2 2 2 2 2 1 5 2 6 2 7 2 2 2 2 8 9 
395 sister-in-law 1 2 3 4 5 6 7 3 8 9 10 3 11 12 13 14 15 8 16 17 18 19 20 21 
396 six 1 2 2 2 2 2 2 2 2 2 2 2 3 4 2 5 2 2 2 2 2 2 6 7 
398.1 son-in-law1 1 2 3 3 4 3 3 3 3 5 6 3 7 8 9 10 11 12 13 13 5 14 15 16 
398.2 son-in-law2 1 2 3 3 4 17 17 18 18 5 6 3 7 8 9 10 11 12 13 13 5 14 15 16 
399 spin 1 2 3 4 5 6 7 8 9 10 3 3 11 12 13 14 15 9 10 10 10 3 16 17 
400.1 spring1 1 1 1 2 3 1 1 1 1 4 5 1 6 7 8 1 9 1 10 1 4 1 11 12 
400.2 spring2 13 1 1 2 3 1 1 1 14 4 5 1 6 7 8 1 9 14 10 1 4 1 11 12 
403.1 summer1 1 2 3 4 2 5 2 6 7 2 2 8 9 10 2 11 12 7 13 2 2 2 14 15 
403.2 summer2 1 2 3 4 17 5 2 6 7 18 2 8 9 10 17 11 12 7 13 18 18 2 14 15 
405.1 sweet1 1 2 3 4 6 5 8 9 9 6 7 11 12 14 6 17 18 9 19 6 6 7 21 23 
405.2 sweet2 1 2 3 4 10 5 8 9 9 6 7 11 12 14 10 17 18 9 19 6 6 7 21 23 
406 ten 1 2 2 2 2 2 2 2 2 2 2 2 3 4 2 5 2 2 2 2 2 2 6 2 
407.1 thousand1 1 2 3 4 5 3 3 6 6 6 7 8 9 10 5 11 6 6 6 6 6 12 13 14 
407.2 thousand2 1 2 3 4 5 15 15 6 6 6 7 8 9 10 5 11 6 6 6 6 6 12 13 14 
408 twenty 1 2 2 3 2 2 2 4 4 5 2 2 6 7 2 8 9 4 5 5 5 2 10 11 
409 udder 1 2 3 4 5 3 6 7 8 3 9 3 10 11 12 13 14 8 15 3 3 16 17 18 
410 wasp 1 2 3 4 5 6 7 8 7 7 9 7 10 11 12 13 7 14 15 16 17 18 19 20 
414 widow 1 2 3 2 4 2 2 2 5 2 2 2 6 7 8 9 2 10 2 11 2 2 12 13 
415 winter 2 2 2 2 2 2 2 2 2 7 2 2 9 11 2 14 2 2 7 7 7 2 17 19 
418 wool 1 2 3 4 5 1 1 1 1 1 12 1 1 6 7 8 9 1 1 1 1 12 10 11 
419 yoke 1 1 1 2 3 1 4 1 1 1 1 1 5 6 7 8 9 1 1 1 1 1 10 11 
420.1 young1 1 2 2 3 4 5 5 5 5 5 5 5 6 7 8 9 10 5 5 5 5 5 11 5 
420.2 young2 1 2 2 3 4 5 5 5 5 12 12 5 6 7 8 9 10 5 12 12 12 12 11 5 
421 tear 1 2 2 3 11 11 11 4 11 2 2 2 5 6 11 7 8 11 2 2 2 2 9 10 
