Num Fea HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM
22 claw 1 2 3 4 5 3 6 3 3 7 3 3 8 9 10 11 12 3 13 7 7 14 15 16
28.1 day1 1 2 2 1 3 1 4 1 1 5 6 1 7 8 3 9 1 1 5 5 5 10 1 1 
28.2 day2 11 2 2 12 3 1 4 13 13 5 6 1 7 8 3 9 13 13 5 5 5 10 14 14 
28a.1 day3 1 1 2 1 3 4 4 1 1 5 6 1 7 8 3 9 10 1 5 5 5 1 11 12 
28a.2 day4 13 1 2 14 3 4 4 15 15 5 6 1 7 8 3 9 10 15 5 5 5 1 11 12 
30 dig 1 2 3 4 5 6 6 7 8 9 10 1 11 12 5 6 13 14 9 9 9 10 15 16 
31 dirty 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 19 19 20 21 22 
32 dog 1 1 1 2 1 1 1 3 1 9 1 4 1 5 1 6 1 1 9 9 9 1 7 8 
33 drink 1 2 3 3 1 3 4 3 5 6 3 3 1 7 1 8 3 5 6 6 6 3 3 9 
35 dull 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 20 21 22 23 
36 dust 1 2 3 4 5 7 8 9 10 6 12 13 14 15 5 16 17 18 19 11 19 20 21 22 
37.1 ear1 1 2 2 2 3 4 5 2 2 2 9 2 1 6 3 5 2 2 2 2 2 9 7 8 
37.2 ear2 1 2 2 2 3 4 5 2 2 10 9 2 1 6 3 5 2 2 10 10 10 9 7 8 
38.1 earth1 1 2 3 1 1 1 1 1 1 4 5 6 1 7 1 8 1 1 4 4 4 9 6 10 
38.2 earth2 1 2 3 1 1 1 1 11 11 4 5 6 1 7 1 8 11 11 4 4 4 9 6 10 
40 egg 1 2 3 4 5 6 7 3 8 3 9 3 10 11 12 13 14 15 16 3 3 3 17 18 
41.1 eye1 1 2 2 3 2 2 4 2 2 2 8 2 1 1 2 4 2 2 2 2 2 5 6 7 
41.2 eye2 1 2 2 3 2 2 4 2 2 9 8 2 1 1 2 4 2 2 9 9 9 5 6 7 
43.1 far1 1 2 14 3 4 1 1 5 6 15 7 16 8 9 4 1 10 6 15 15 15 11 12 13 
43.2 far2 1 2 14 3 4 17 17 5 6 15 7 16 8 9 4 17 10 6 15 15 15 11 12 13 
44 fat 1 2 3 4 5 6 6 7 7 8 9 10 11 12 5 13 7 7 14 8 15 16 17 10 
47.1 feather1 1 2 3 4 3 3 3 3 5 6 7 18 8 9 10 11 12 13 14 6 6 15 16 17 
47.2 feather2 1 2 19 4 20 21 21 3 5 6 7 18 8 9 10 11 12 13 14 6 6 15 16 17 
48.1 few1 1 2 3 4 5 6 7 8 9 10 11 10 12 13 14 7 15 9 10 10 10 16 17 18 
48.2 few2 1 2 3 4 5 6 7 8 9 10 11 19 12 13 14 7 15 9 10 10 10 16 17 18 
51.1 fish1 1 2 2 3 4 5 5 6 2 7 7 7 8 9 10 11 2 2 7 7 7 12 13 14 
51.2 fish2 1 2 2 3 4 5 5 6 2 7 15 16 8 9 10 11 2 2 7 7 7 12 13 14 
52 five 1 2 2 2 2 2 2 2 2 6 2 2 3 4 2 5 2 2 6 6 6 2 2 2 
53.1 float1 4 9 9 9 9 9 20 9 9 9 11 32 2 3 5 6 7 9 8 9 9 11 10 12 
53.2 float2 4 9 9 9 9 9 20 9 1 1 11 32 2 3 5 6 7 1 8 1 1 11 10 12 
55 flower 1 2 3 4 5 6 7 8 9 10 17 18 11 12 5 13 14 15 10 10 10 17 18 16 
58 foot 1 1 1 2 1 1 1 3 4 1 5 1 1 1 1 1 3 4 1 1 1 5 1 1 
59.1 four1 1 2 2 2 2 2 2 2 2 2 2 2 1 3 2 4 2 2 2 2 2 2 2 2 
59.2 four2 1 2 2 2 2 2 2 2 2 5 2 2 1 3 2 4 2 2 5 5 5 2 2 2 
60 freeze 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 10 10 10 10 18 19 
61 fruit 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 10 21 22 23 
62.1 full1 1 2 3 4 5 6 6 6 6 6 6 6 7 8 5 9 6 6 6 6 6 6 10 6 
62.2 full2 1 2 3 4 5 6 6 6 6 6 6 11 7 8 5 9 6 6 6 6 6 6 10 11
63.1 give1 1 2 2 3 1 2 2 2 2 4 5 2 1 1 1 2 2 2 4 4 4 2 2 2 
63.2 give2 6 2 7 3 1 7 7 8 8 4 5 7 6 6 1 7 8 8 4 4 4 9 7 7 
64 good 1 2 3 4 5 6 6 7 8 9 10 11 6 12 5 6 13 13 9 9 9 14 15 16 
65 grass 1 2 3 4 5 6 7 8 9 10 11 12 13 14 5 15 16 9 17 10 10 1 18 19 
66.1 green1 1 2 3 4 5 3 6 3 3 7 8 9 1 10 11 12 3 3 13 7 7 14 15 16 
66.2 green2 1 2 3 4 5 3 6 3 16 7 8 9 1 10 11 12 16 16 13 7 7 14 15 17
67 guts 1 2 2 3 4 2 5 6 7 8 9 2 10 11 12 13 14 15 16 8 8 17 18 19 
69.1 hand1 1 1 1 1 1 1 1 2 2 3 4 5 1 1 1 1 2 2 3 3 3 4 5 5 
69.2 hand2 1 1 1 1 1 6 6 2 2 3 4 5 1 1 1 6 2 2 3 3 3 4 5 5 
71 head 1 2 3 4 5 6 6 7 7 8 9 10 11 12 13 14 7 7 8 10 8 9 15 16 
73.1 heart1 1 1 1 2 3 1 1 1 1 1 1 1 1 4 3 5 1 1 1 1 1 6 7 8 
73.2 heart2 1 1 1 2 3 9 9 1 1 10 1 1 1 4 3 5 1 1 10 10 10 6 7 8 
79 how 1 2 2 2 3 2 2 2 2 2 2 2 4 5 6 7 2 2 2 2 2 2 8 9 
80 hunt 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 9 9 17 18 18 19 20 21 
83 ice 1 2 3 4 5 6 7 8 8 7 1 9 10 11 12 13 8 8 14 7 7 1 15 16 
85.1 in1 1 1 1 1 2 3 4 1 1 1 1 1 1 1 2 5 1 6 1 1 1 1 1 1 
85.2 in2 7 1 1 1 2 3 4 1 1 1 1 1 7 7 2 5 1 6 1 1 1 1 1 1 
87.1 knee1 1 1 1 1 1 1 1 2 9 1 1 1 3 4 1 5 6 9 1 1 1 1 7 8 
87.2 knee2 1 1 1 1 1 1 1 2 9 10 11 1 3 4 1 5 6 9 10 10 10 11 7 8 
90 laugh 1 2 2 3 4 5 6 7 8 9 10 11 12 13 4 14 15 7 9 9 9 16 17 18 
92 lefthand 1 2 3 4 5 6 6 6 7 8 9 10 11 12 5 13 14 15 16 8 8 17 18 18 
93 leg 1 2 3 4 5 6 7 8 9 10 11 2 12 13 14 15 16 9 17 18 19 11 20 21 
95.1 live1 1 2 2 3 2 2 2 2 2 4 2 2 5 6 2 2 2 2 4 4 4 2 7 8 
95.2 live2 1 2 9 3 9 9 9 9 10 4 11 9 5 6 9 9 9 12 4 4 4 11 7 8 
